"","CU_Name","Year","GroupEsc","SumRawEsc"
"461","7 - Howe Sound-Burrard Inlet","2017",246866.20749447,118374
"462","7 - Howe Sound-Burrard Inlet","2018",116083.142755723,35629
"463","8 - Lower Fraser","1953",144772.891173472,137300
"464","8 - Lower Fraser","1954",91107.599931714,86225
"465","8 - Lower Fraser","1955",116409.886886892,110125
"466","8 - Lower Fraser","1956",34320.5878704623,32475
"467","8 - Lower Fraser","1957",89177.9827214599,84455
"468","8 - Lower Fraser","1958",94092.2007678009,89150
"469","8 - Lower Fraser","1959",160382.002933898,151925
"470","8 - Lower Fraser","1960",152619.506857405,144357
"471","8 - Lower Fraser","1961",109369.122328154,103595
"472","8 - Lower Fraser","1962",137417.732579202,130032
"473","8 - Lower Fraser","1963",203064.659262311,192070
"474","8 - Lower Fraser","1964",260530.482034711,246516
"475","8 - Lower Fraser","1965",136592.648610624,129309
"476","8 - Lower Fraser","1966",380660.161894403,360710
"477","8 - Lower Fraser","1967",225715.166011736,213723
"478","8 - Lower Fraser","1968",706777.6568619,669763
"479","8 - Lower Fraser","1969",326141.761760617,309115
"480","8 - Lower Fraser","1970",299267.016524757,283425
"481","8 - Lower Fraser","1971",306372.174701094,289975
"482","8 - Lower Fraser","1972",446264.194778258,422715
"483","8 - Lower Fraser","1973",280249.238696794,265505
"484","8 - Lower Fraser","1974",368456.70394888,349470
"485","8 - Lower Fraser","1975",201639.037691692,191255
"486","8 - Lower Fraser","1976",358010.186752688,339862
"487","8 - Lower Fraser","1977",628344.383114523,598056
"488","8 - Lower Fraser","1978",374131.029132151,358295
"489","8 - Lower Fraser","1979",265432.030182474,255419
"490","8 - Lower Fraser","1980",323009.312351109,311864
"491","8 - Lower Fraser","1981",449956.710808611,434724
